"filename", "language", "UnityShader", "C#", "comment", "blank", "total"
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Editor\DecorationsEditor.cs", "C#", 0, 17, 0, 5, 22
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Editor\MapEditor.cs", "C#", 0, 17, 0, 5, 22
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\AbstractTerrainGenerator.cs", "C#", 0, 85, 41, 24, 150
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Actor.cs", "C#", 0, 40, 5, 9, 54
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Agent.cs", "C#", 0, 86, 0, 26, 112
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\AgentTask.cs", "C#", 0, 9, 0, 2, 11
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Area.cs", "C#", 0, 54, 6, 15, 75
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\BatchRenderer.cs", "C#", 0, 62, 3, 14, 79
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Boid.cs", "C#", 0, 63, 2, 13, 78
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\CameraController.cs", "C#", 0, 54, 4, 15, 73
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\CharacterControllerTest.cs", "C#", 0, 30, 4, 11, 45
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Chunk.cs", "C#", 0, 258, 151, 57, 466
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\CliffDecorations.cs", "C#", 0, 44, 3, 11, 58
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\CollisionTest.cs", "C#", 0, 239, 7, 57, 303
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Decorations.cs", "C#", 0, 115, 8, 31, 154
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Dialogue.cs", "C#", 0, 187, 23, 38, 248
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\IHeightMap.cs", "C#", 0, 7, 0, 3, 10
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\IOnValidateListener.cs", "C#", 0, 7, 1, 2, 10
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Map.cs", "C#", 0, 183, 26, 32, 241
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\MapGeneratorBase.cs", "C#", 0, 678, 77, 177, 932
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Node.cs", "C#", 0, 14, 0, 3, 17
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\NoiseSettings.cs", "C#", 0, 55, 0, 12, 67
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\PerlinNoise.cs", "C#", 0, 43, 0, 8, 51
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Ramp.cs", "C#", 0, 56, 0, 10, 66
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\RandomTransform.cs", "C#", 0, 92, 0, 13, 105
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\ScriptElementPatterns.cs", "C#", 0, 69, 2, 14, 85
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\TerrainGenerationSettings.cs", "C#", 0, 26, 0, 5, 31
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\DEMO\Scripts\Waypoint.cs", "C#", 0, 37, 3, 9, 49
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Extensions\AddTriggersToStates.cs", "C#", 0, 32, 5, 4, 41
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Extensions\ScreenCast.cs", "C#", 0, 61, 0, 15, 76
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Extensions\SerializableDictionary.cs", "C#", 0, 50, 2, 10, 62
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Extensions\SerializableHashSet.cs", "C#", 0, 28, 2, 7, 37
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Extensions\VectorExtensions.cs", "C#", 0, 55, 7, 15, 77
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\IAgent.cs", "C#", 0, 10, 23, 6, 39
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\IGraph.cs", "C#", 0, 10, 0, 2, 12
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\IPath.cs", "C#", 0, 12, 0, 2, 14
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\Obstruction.cs", "C#", 0, 148, 23, 30, 201
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\ObstructionArray.cs", "C#", 0, 47, 0, 9, 56
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\ObstructionList.cs", "C#", 0, 20, 0, 4, 24
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\ObstructionRect.cs", "C#", 0, 28, 0, 9, 37
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\ObstructionSet.cs", "C#", 0, 24, 0, 5, 29
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\PriorityQueue.cs", "C#", 0, 60, 1, 11, 72
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\Search.cs", "C#", 0, 186, 1, 57, 244
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Navigation\VoxelTraversal.cs", "C#", 0, 190, 7, 46, 243
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Scripts\PostProcessingEffect.cs", "C#", 0, 19, 0, 5, 24
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Shaders\CustomTessellation.cginc", "UnityShader", 61, 0, 4, 12, 77
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Shaders\Grass.shader", "UnityShader", 219, 0, 31, 69, 319
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Shaders\Pixelated.shader", "UnityShader", 79, 0, 9, 20, 108
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Shaders\Solid.shader", "UnityShader", 62, 0, 0, 12, 74
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Shaders\Terrain.shader", "UnityShader", 67, 0, 0, 15, 82
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\Toon\Shaders\Textured.shader", "UnityShader", 68, 0, 0, 10, 78
"c:\Users\Dan\Dev\Unity Projects\MultiUnitPathfinding\Assets\danzabarr\pxl-UI\Scripts\DialogueBox.cs", "C#", 0, 135, 54, 31, 220
"Total", "-", 556, 3742, 535, 1027, 5860